source_artifact,source_csv_row,model_id,mask_id,cell_id,window_hours,polynomial_degree,joint_model_weight,sector,timescale_minutes,filled_bins,eligible,unbinned_rms,binned_rms,effective_cadences_per_bin,finite_bin_correction,white_noise_rms,beta,weighted_beta_contribution
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,64,320,24,True,0.0004687790191444819,0.00017573295510537579,16.492113629903056,1.0215078369104984,0.0001179157206705087,1.4903267698835976,0.067742125903799896
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,64,360,24,True,0.0004687790191444819,0.00017683059911284806,16.037259513752108,1.0215078369104984,0.00011957621168684452,1.4788108488998279,0.067218674949992174
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,90,20,180,True,0.00047725738762860253,0.00016580736968642844,10.000000000000002,1.0027894056973135,0.00015134302029609113,1.0955732835385399,0.049798785615388176
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,90,40,90,True,0.00047725738762860253,0.0001285082554263076,20.000000000000004,1.0056022847309865,0.00010731586075050569,1.1974768177564288,0.054430764443474035
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,90,80,45,True,0.00047725738762860253,8.6328033648872701e-05,40.000000000000014,1.0112997936948631,7.6313712696318966e-05,1.1312257076576067,0.051419350348073031
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,90,160,24,True,0.00047725738762860253,4.8842472790997641e-05,71.111111111111114,1.0215078369104984,5.7813016527629604e-05,0.84483522439371728,0.038401601108805333
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,90,320,12,True,0.00047725738762860253,2.7902227190084706e-05,147.69230769230768,1.044465935734187,4.1017388099155146e-05,0.6802536310365267,0.030920619592569396
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,90,360,12,True,0.00047725738762860253,3.3807177509362098e-05,120.00000000000003,1.044465935734187,4.5504706454495465e-05,0.74293804187417734,0.03376991099428079
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,99,20,120,True,0.00052418187965639512,0.0001765956878551832,9.9447513812154682,1.0041928905068676,0.00016691761898328085,1.0579811102677648,0.048090050466716584
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,99,40,60,True,0.00052418187965639512,0.00012842218091794284,19.917012448132784,1.0084389681792214,0.00011844576187890169,1.0842277417172679,0.049283079168966723
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,99,80,30,True,0.00052418187965639512,0.00010332666771706262,39.852398523985229,1.0170952554312156,8.4453256382567953e-05,1.2234776033857038,0.055612618335713807
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,99,160,16,True,0.00052418187965639512,8.3497676958575097e-05,70.243902439024396,1.0327955589886444,6.4593980803639528e-05,1.2926541439271451,0.058757006542142956
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,99,320,8,True,0.00052418187965639512,2.3955959548174828e-05,146.91292875989447,1.0690449676496976,4.623256287853595e-05,0.51816204978973124,0.023552820444987785
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,99,360,8,True,0.00052418187965639512,4.3727636711697821e-05,117.89473684210525,1.0690449676496976,5.1609632743900291e-05,0.84727664947133263,0.038512574975969667
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,100,20,165,True,0.00047560122567454863,0.00015759572593841239,9.9523684147538241,1.0030441470721065,0.00015121671214911317,1.0421845819727185,0.047372026453305384
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,100,40,83,True,0.00047560122567454863,0.00012190976531137096,19.59185164885357,1.0060790833484312,0.0001081028996861808,1.1277196602983921,0.051259984559017827
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,100,80,42,True,0.00047560122567454863,9.0565387452313747e-05,38.349900889778617,1.0121216546949479,7.7730875458341172e-05,1.1651147233103152,0.052959760150468875
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,100,160,22,True,0.00047560122567454863,7.2905373551902336e-05,71.453912595075408,1.023532631438318,5.7587954257234493e-05,1.2659830426732617,0.057544683757875532
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,100,320,12,True,0.00047560122567454863,5.3451271571285615e-05,121.22872994005284,1.044465935734187,4.5116403068841948e-05,1.1847414229748259,0.053851882862492088
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,100,360,12,True,0.00047560122567454863,5.973091374283278e-05,91.380942625160401,1.044465935734187,5.1964820181537669e-05,1.1494490606176346,0.052247684573528845
outputs/faz6r_joint_fits.csv,9,raw_valid::W26_P1,raw_valid,W26_P1,26,1,0.045454545454545456,37,20,156,True,0.00048407629395869826,0.00021477819227372211,9.997410668047646,1.003220620254202,0.00015359125852818347,1.3983751050149189,0.063562504773405401
outputs/faz6r_joint_fits.csv,9,raw_valid::W26_P1,raw_valid,W26_P1,26,1,0.045454545454545456,37,40,78,True,0.00048407629395869826,0.00017954831754706346,19.997429801452167,1.0064725594803929,0.00010895035842246275,1.6479828074622032,0.074908309430100142
outputs/faz6r_joint_fits.csv,9,raw_valid::W26_P1,raw_valid,W26_P1,26,1,0.045454545454545456,37,80,40,True,0.00048407629395869826,0.00017155742155874101,37.949092680550478,1.0127393670836666,7.9581259586169084e-05,2.15575152304522,0.097988705592964548
outputs/faz6r_joint_fits.csv,9,raw_valid::W26_P1,raw_valid,W26_P1,26,1,0.045454545454545456,37,160,20,True,0.00048407629395869826,0.00014559844615292749,77.342612073150988,1.025978352085154,5.6473225669618436e-05,2.5781854042606387,0.11719024564821086
outputs/faz6r_joint_fits.csv,9,raw_valid::W26_P1,raw_valid,W26_P1,26,1,0.045454545454545456,37,320,10,True,0.00048407629395869826,0.00012322084778057895,155.49475841823221,1.0540925533894598,4.091991127001258e-05,3.0112686942916009,0.13687584974052733
outputs/faz6r_joint_fits.csv,9,raw_valid::W26_P1,raw_valid,W26_P1,26,1,0.045454545454545456,37,360,10,True,0.00048407629395869826,0.00014254195037869647,127.74432792376092,1.0540925533894598,4.5146256780593063e-05,3.1573370760601067,0.14351532163909578
outputs/faz6r_joint_fits.csv,9,raw_valid::W26_P1,raw_valid,W26_P1,26,1,0.045454545454545456,63,20,223,True,0.00049280846361700217,0.00020527496927692107,9.1660278262571566,1.0022497216285493,0.00016314114893273342,1.2582660513293327,0.057193911424060578
outputs/faz6r_joint_fits.csv,9,raw_valid::W26_P1,raw_valid,W26_P1,26,1,0.045454545454545456,63,40,116,True,0.00049280846361700217,0.00017485402614745739,17.017461554462407,1.0043384151638894,0.00011998054857207195,1.4573531145544238,0.066243323388837455
outputs/faz6r_joint_fits.csv,9,raw_valid::W26_P1,raw_valid,W26_P1,26,1,0.045454545454545456,63,80,64,True,0.00049280846361700217,0.00016908123043654928,24.326287495033451,1.0079052613579393,0.00010070706813962817,1.6789410471380402,0.076315502142638186
outputs/faz6r_joint_fits.csv,9,raw_valid::W26_P1,raw_valid,W26_P1,26,1,0.045454545454545456,63,160,38,True,0.00049280846361700217,0.00015872555425697346,28.099247135564045,1.0134234194190634,9.4215368735610112e-05,1.6847097919066016,0.076577717813936436
outputs/faz6r_joint_fits.csv,9,raw_valid::W26_P1,raw_valid,W26_P1,26,1,0.045454545454545456,63,320,26,True,0.00049280846361700217,0.00016865428478950336,23.43510866961341,1.019803902718557,0.00010381529483706033,1.6245610538814035,0.073843684267336521
outputs/faz6r_joint_fits.csv,9,raw_valid::W26_P1,raw_valid,W26_P1,26,1,0.045454545454545456,63,360,26,True,0.00049280846361700217,0.00017028537247111623,23.153536751193023,1.019803902718557,0.00010444464008178748,1.6303888101655657,0.074108582280252994
outputs/faz6r_joint_fits.csv,9,raw_valid::W26_P1,raw_valid,W26_P1,26,1,0.045454545454545456,64,20,238,True,0.0004759022440167596,0.0001746427433408642,9.2808800669616165,1.0021074838971618,0.00015654437891822657,1.1156117169310282,0.05070962349686492
